onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
0	0.043	FIXA	780.8	505.1	786.3	491.5	0.273	27.911	13.511	14.256
0.043	0.016	SACC	783.8	492.4	656.4	552.4	2.612	267.344	166.022	167.476
0.059	0.321	FIXA	656.3	553.2	670.2	549.6	0.268	73.068	17.43	19.322
0.38	0.031	SACC	672.4	547	738.2	285.5	5.004	388.83	176.732	200.014
0.411	0.013	LPSO	739.7	285.1	756.4	338.8	1.043	120.85	92.834	83.735
0.424	0.041	PURS	756	339.4	751.1	319.7	0.377	62.597	28.147	27.638
0.465	0.069	FIXA	751.1	319.4	745.3	302.7	0.327	65.112	21.369	25.526
0.534	0.2	PURS	746.3	302.7	741.7	299.8	0.101	55.559	15.928	17.852
0.734	0.055	FIXA	742.1	300.8	744.2	304.2	0.073	51.303	19.021	20.822
0.789	0.021	SACC	740.1	304.2	618.6	147.4	3.681	306.168	217.547	199.615
0.81	0.006	LPSO	622	147.4	637	156.7	0.328	86.934	66.877	65.17
0.816	0.07	PURS	638.5	157.9	633.3	164.6	0.158	57.407	24.641	25.225
0.886	0.395	FIXA	634.2	164.8	626.8	138.4	0.509	286.738	19.083	22.634
1.53	0.274	PURS	421	-40.7	576	268.3	3.188	960.489	21.057	38.59
1.804	0.152	FIXA	576.1	269.2	573.8	270.4	0.048	42.925	16.067	17.633
1.956	0.018	SACC	571.7	271.7	339.4	367	4.66	423.789	281.21	262.452
1.974	0.011	HPSO	339.8	368	384.6	349.1	0.901	140.596	95.696	86.67
1.985	0.069	FIXA	383.6	347.5	379.9	357.5	0.198	50.646	21.585	22.743
2.054	0.627	PURS	380.4	357.6	565	451.1	3.842	81.82	17.578	19.674
2.681	0.016	SACC	568.8	450.9	762.6	449.9	3.597	344.369	248.705	229.591
2.697	0.013	HPSO	763.8	450.5	692	449.9	1.333	161.213	122.438	104.687
2.71	0.074	FIXA	692.3	449.8	736.6	450.5	0.822	51.797	14.603	17.359
2.784	0.464	PURS	736.7	451.2	767.8	460.1	0.601	51.449	17.559	18.641
3.248	0.024	SACC	764.9	459.2	696	246.6	4.149	332.232	205.439	197.86
3.272	0.051	PURS	693.7	246.2	695.2	276.5	0.563	60.874	24.894	29.561
3.323	0.051	FIXA	695.4	275.6	697.9	264.3	0.216	36.836	19.675	19.851
3.374	0.205	PURS	697.9	264.2	722.4	268.6	0.461	47.896	17.081	19.091
3.579	0.744	FIXA	722.4	268.4	685.3	286.1	0.763	67.426	19.372	20.958
4.323	0.025	SACC	681.8	288.2	453.2	273.4	4.253	416.365	170.633	190.156
4.348	0.111	PURS	452.5	273.6	458.2	276.5	0.119	61.251	22.107	24.002
4.459	0.094	FIXA	457.7	277.2	456.6	274.3	0.057	49.928	16.908	17.809
4.553	0.059	PURS	455.6	272.8	461	278	0.139	55.008	21.084	22.216
4.612	0.026	SACC	464.1	278.7	560	82.2	4.059	410.92	179.923	222.111
4.638	0.018	LPSO	558.1	81.3	564.8	111.6	0.575	111.469	53.682	58.03
4.656	0.295	FIXA	564.9	111.4	543.8	76.6	0.755	78.657	19.015	22.427
4.951	0.035	SACC	546.2	78.4	713.3	224.2	4.116	426.559	153.188	205.557
4.986	0.391	FIXA	713.1	225.1	736.2	222.2	0.431	69.98	18.59	21.283
5.377	0.385	PURS	737.4	223.4	510.6	181.8	4.279	411.059	21.955	37.131
5.762	0.102	SACC	511.9	178.9	501.1	159.6	0.411	964.88	319.331	400.675
5.864	0.098	FIXA	501.1	159.8	466.6	118.6	0.997	541.441	31.268	52.667
6.256	0.365	PURS	317.5	-195.1	489.5	260.2	9.677	969.933	27.792	60.327
6.621	0.019	SACC	493.2	263.7	714.3	270.9	4.106	348.841	239.919	223
6.64	0.014	HPSO	713.5	272.5	628.9	281.5	1.578	182.415	128.42	117.476
6.654	0.06	PURS	629.1	279.8	652.9	277.5	0.445	51.05	15.965	18.382
6.714	1.262	FIXA	652.6	277.2	636.2	280.2	0.309	88.138	19.457	21.635
7.976	0.028	SACC	632.9	280.8	552.7	247.3	1.613	212.776	104.84	124.085
8.004	0.681	FIXA	553.4	249.3	539.3	261.8	0.348	67.806	20.154	22.072
8.685	0.025	SACC	542.2	261.5	589.1	206.5	1.341	203.671	119.254	117.678
8.71	0.058	PURS	588.8	206.8	595.1	209.8	0.128	79.98	22.869	27.432
