start_x	start_y	duration
9.911000000000000227e+02	2.410000000000000000e+02	9.149999999999999800e-02
7.463999999999999773e+02	3.931000000000000227e+02	8.899999999999999578e-02
7.650000000000000000e+02	3.745000000000000000e+02	8.899999999999999578e-02
7.503999999999999773e+02	1.391999999999999886e+02	3.350000000000000200e-02
7.470000000000000000e+02	1.055000000000000000e+02	3.350000000000000200e-02
7.481000000000000227e+02	1.060000000000000000e+02	2.560000000000000053e-01
7.447000000000000455e+02	1.044000000000000057e+02	6.199999999999999956e-02
7.451000000000000227e+02	1.112999999999999972e+02	6.199999999999999956e-02
7.446000000000000227e+02	1.110000000000000000e+02	8.000000000000000167e-02
8.537000000000000455e+02	1.515999999999999943e+02	1.130000000000000032e-01
8.681000000000000227e+02	1.656999999999999886e+02	1.184999999999999942e-01
8.232000000000000455e+02	2.018000000000000114e+02	1.184999999999999942e-01
8.235000000000000000e+02	2.030999999999999943e+02	4.399999999999999745e-02
7.268999999999999773e+02	3.593000000000000114e+02	9.600000000000000200e-02
7.360000000000000000e+02	3.838000000000000114e+02	9.600000000000000200e-02
8.261000000000000227e+02	3.790000000000000000e+02	8.350000000000000477e-02
8.335000000000000000e+02	3.773999999999999773e+02	8.350000000000000477e-02
8.977999999999999545e+02	1.984000000000000057e+02	4.700000000000000011e-02
8.780000000000000000e+02	2.034000000000000057e+02	2.074999999999999900e-01
8.675000000000000000e+02	2.938999999999999773e+02	2.074999999999999900e-01
9.566000000000000227e+02	3.545000000000000000e+02	4.299999999999999656e-02
9.755000000000000000e+02	3.643000000000000114e+02	1.905000000000000027e-01
9.797999999999999545e+02	4.225000000000000000e+02	1.905000000000000027e-01
1.033599999999999909e+03	3.733000000000000114e+02	9.500000000000000111e-02
1.036900000000000091e+03	3.818000000000000114e+02	2.169999999999999984e-01
9.555000000000000000e+02	4.731000000000000227e+02	2.169999999999999984e-01
9.720000000000000000e+02	4.941000000000000227e+02	2.149999999999999828e-02
9.817999999999999545e+02	5.036000000000000227e+02	2.149999999999999828e-02
9.803999999999999773e+02	5.043000000000000114e+02	1.439999999999999891e-01
9.860000000000000000e+02	5.088000000000000114e+02	9.249999999999999889e-02
9.976000000000000227e+02	5.262000000000000455e+02	9.249999999999999889e-02
9.682000000000000455e+02	1.483000000000000114e+02	1.419999999999999873e-01
6.748999999999999773e+02	8.970000000000000284e+01	8.899999999999999578e-02
6.686000000000000227e+02	1.189000000000000057e+02	8.899999999999999578e-02
6.526000000000000227e+02	1.713000000000000114e+02	2.800000000000000058e-02
6.567999999999999545e+02	1.693000000000000114e+02	2.800000000000000058e-02
6.563999999999999773e+02	1.690999999999999943e+02	5.999999999999999778e-02
9.606000000000000227e+02	4.403999999999999773e+02	1.499999999999999944e-01
8.776000000000000227e+02	4.653000000000000114e+02	9.550000000000000155e-02
8.716000000000000227e+02	4.886999999999999886e+02	9.550000000000000155e-02
9.132999999999999545e+02	4.990000000000000000e+02	8.350000000000000477e-02
9.158999999999999773e+02	5.203999999999999773e+02	8.350000000000000477e-02
9.377999999999999545e+02	2.215000000000000000e+02	2.159999999999999976e-01
