start_x	start_y	duration
6.517000000000000455e+02	3.971000000000000227e+02	5.750000000000000250e-02
6.728999999999999773e+02	3.428000000000000114e+02	7.299999999999999545e-02
6.646000000000000227e+02	3.581999999999999886e+02	7.299999999999999545e-02
7.975000000000000000e+02	3.336000000000000227e+02	2.549999999999999836e-02
8.087000000000000455e+02	3.300000000000000000e+02	2.549999999999999836e-02
8.088999999999999773e+02	3.303000000000000114e+02	5.800000000000000294e-02
9.451000000000000227e+02	2.703999999999999773e+02	1.170000000000000068e-01
9.147000000000000455e+02	2.598999999999999773e+02	1.170000000000000068e-01
8.896000000000000227e+02	2.554000000000000057e+02	5.199999999999999761e-02
1.148299999999999955e+03	3.173000000000000114e+02	6.500000000000000222e-02
1.153599999999999909e+03	3.108999999999999773e+02	6.500000000000000222e-02
1.116900000000000091e+03	2.925000000000000000e+02	6.099999999999999867e-02
1.114000000000000000e+03	2.918000000000000114e+02	1.049999999999999961e-01
1.123299999999999955e+03	2.916999999999999886e+02	1.049999999999999961e-01
1.155299999999999955e+03	2.800000000000000000e+02	5.700000000000000205e-02
1.164599999999999909e+03	2.841999999999999886e+02	9.750000000000000333e-02
1.171900000000000091e+03	2.791000000000000227e+02	9.750000000000000333e-02
1.146700000000000045e+03	2.888000000000000114e+02	1.145000000000000046e-01
1.134500000000000000e+03	2.766000000000000227e+02	1.145000000000000046e-01
1.114700000000000045e+03	2.796999999999999886e+02	3.150000000000000022e-01
1.136099999999999909e+03	2.626000000000000227e+02	2.249999999999999917e-02
1.160500000000000000e+03	2.698999999999999773e+02	2.249999999999999917e-02
1.160900000000000091e+03	2.703000000000000114e+02	5.450000000000000400e-01
6.585000000000000000e+02	3.676999999999999886e+02	1.980000000000000093e-01
6.667000000000000455e+02	2.636000000000000227e+02	1.529999999999999971e-01
6.582000000000000455e+02	2.555999999999999943e+02	8.200000000000000344e-02
6.560000000000000000e+02	2.454000000000000057e+02	8.200000000000000344e-02
6.773999999999999773e+02	2.460999999999999943e+02	6.199999999999999956e-02
6.672999999999999545e+02	2.489000000000000057e+02	4.349999999999999700e-02
6.692000000000000455e+02	2.421999999999999886e+02	4.349999999999999700e-02
6.693999999999999773e+02	2.425000000000000000e+02	3.065999999999999837e+00
