start_x	start_y	duration
3.665000000000000000e+02	2.260000000000000000e+02	8.849999999999999534e-02
3.906999999999999886e+02	2.425999999999999943e+02	8.849999999999999534e-02
5.217999999999999545e+02	3.340000000000000000e+02	3.450000000000000289e-02
5.388999999999999773e+02	3.431999999999999886e+02	3.450000000000000289e-02
5.400000000000000000e+02	3.433999999999999773e+02	1.060000000000000053e+00
5.210000000000000000e+02	3.606000000000000227e+02	1.454999999999999905e-01
5.472999999999999545e+02	3.461000000000000227e+02	1.454999999999999905e-01
5.477999999999999545e+02	3.463000000000000114e+02	4.319999999999999951e-01
5.282000000000000455e+02	3.391000000000000227e+02	9.950000000000000511e-02
5.135000000000000000e+02	3.410000000000000000e+02	9.950000000000000511e-02
5.116999999999999886e+02	3.411999999999999886e+02	7.900000000000000078e-02
5.707999999999999545e+02	4.371000000000000227e+02	5.600000000000000117e-02
5.805000000000000000e+02	4.523000000000000114e+02	3.899999999999999994e-02
5.752000000000000455e+02	4.568000000000000114e+02	3.899999999999999994e-02
5.746000000000000227e+02	4.566000000000000227e+02	1.219999999999999973e-01
4.756999999999999886e+02	2.790000000000000000e+02	1.170000000000000068e-01
4.665000000000000000e+02	2.495000000000000000e+02	1.170000000000000068e-01
3.793999999999999773e+02	2.766000000000000227e+02	4.200000000000000261e-02
3.678999999999999773e+02	2.741999999999999886e+02	4.800000000000000100e-02
3.593000000000000114e+02	2.548000000000000114e+02	4.800000000000000100e-02
3.596999999999999886e+02	2.548000000000000114e+02	1.049999999999999961e-01
4.623999999999999773e+02	3.921999999999999886e+02	9.459999999999999520e-01
5.108000000000000114e+02	4.141999999999999886e+02	4.050000000000000128e-02
5.216000000000000227e+02	4.220000000000000000e+02	4.050000000000000128e-02
4.356000000000000227e+02	3.145000000000000000e+02	5.679999999999999494e-01
3.303000000000000114e+02	3.021999999999999886e+02	1.184999999999999942e-01
