start_x	start_y	duration
5.880000000000000000e+02	2.726000000000000227e+02	7.649999999999999856e-02
5.818999999999999773e+02	2.710000000000000000e+02	7.649999999999999856e-02
4.196999999999999886e+02	2.996999999999999886e+02	1.019999999999999934e-01
4.281999999999999886e+02	2.951999999999999886e+02	1.019999999999999934e-01
3.571999999999999886e+02	3.051999999999999886e+02	3.799999999999999906e-02
3.730000000000000000e+02	3.063999999999999773e+02	3.799999999999999906e-02
3.733000000000000114e+02	3.061999999999999886e+02	5.190000000000000169e-01
4.438000000000000114e+02	4.025000000000000000e+02	7.900000000000000078e-02
4.666000000000000227e+02	4.150000000000000000e+02	7.900000000000000078e-02
4.981000000000000227e+02	4.188000000000000114e+02	2.299999999999999961e-02
5.106999999999999886e+02	4.271999999999999886e+02	2.299999999999999961e-02
5.111999999999999886e+02	4.278999999999999773e+02	4.399999999999999745e-02
5.143999999999999773e+02	4.211000000000000227e+02	2.474999999999999978e-01
4.766999999999999886e+02	3.915000000000000000e+02	2.474999999999999978e-01
3.333999999999999773e+02	3.833000000000000114e+02	6.430000000000000160e-01
4.773000000000000114e+02	3.951999999999999886e+02	3.920000000000000151e-01
5.463999999999999773e+02	3.933000000000000114e+02	3.810000000000000053e-01
4.816999999999999886e+02	3.901999999999999886e+02	4.889999999999999902e-01
5.843999999999999773e+02	3.795000000000000000e+02	1.150000000000000050e-01
5.567999999999999545e+02	3.775000000000000000e+02	1.034999999999999948e-01
5.212999999999999545e+02	3.833000000000000114e+02	1.034999999999999948e-01
5.211000000000000227e+02	3.826999999999999886e+02	2.109999999999999931e-01
6.577999999999999545e+02	2.500999999999999943e+02	6.500000000000000222e-02
6.781000000000000227e+02	2.673000000000000114e+02	6.500000000000000222e-02
7.618999999999999773e+02	2.103000000000000114e+02	2.510000000000000009e-01
7.632000000000000455e+02	2.325000000000000000e+02	1.844999999999999973e-01
