start_x	start_y	duration
4.518000000000000114e+02	1.247000000000000028e+02	7.249999999999999500e-02
4.595000000000000000e+02	1.445999999999999943e+02	7.249999999999999500e-02
8.237000000000000455e+02	2.165000000000000000e+02	1.170000000000000068e-01
8.811000000000000227e+02	2.355999999999999943e+02	1.170000000000000068e-01
9.337000000000000455e+02	2.581999999999999886e+02	6.260000000000000009e-01
6.641000000000000227e+02	1.655000000000000000e+02	2.400000000000000050e-02
6.688999999999999773e+02	1.596999999999999886e+02	2.400000000000000050e-02
6.692000000000000455e+02	1.613000000000000114e+02	4.900000000000000189e-02
4.933000000000000114e+02	1.264000000000000057e+02	6.550000000000000266e-02
4.801999999999999886e+02	1.210999999999999943e+02	6.550000000000000266e-02
3.951000000000000227e+02	1.315999999999999943e+02	2.549999999999999836e-02
4.166000000000000227e+02	1.336999999999999886e+02	2.549999999999999836e-02
4.168000000000000114e+02	1.330999999999999943e+02	2.190000000000000002e-01
8.638999999999999773e+02	1.027000000000000028e+02	1.300000000000000044e-01
8.663999999999999773e+02	1.801999999999999886e+02	1.300000000000000044e-01
8.666000000000000227e+02	1.803000000000000114e+02	6.500000000000000222e-02
8.643999999999999773e+02	1.853000000000000114e+02	1.155000000000000054e-01
8.788999999999999773e+02	2.081999999999999886e+02	1.155000000000000054e-01
8.780000000000000000e+02	2.086999999999999886e+02	1.069999999999999979e-01
9.065000000000000000e+02	2.703999999999999773e+02	3.049999999999999933e-02
9.135000000000000000e+02	2.828000000000000114e+02	3.049999999999999933e-02
9.137999999999999545e+02	2.843000000000000114e+02	4.499999999999999833e-02
9.163999999999999773e+02	2.856999999999999886e+02	1.290000000000000036e-01
8.867999999999999545e+02	3.035000000000000000e+02	1.290000000000000036e-01
8.861000000000000227e+02	3.043999999999999773e+02	1.539999999999999980e-01
8.665000000000000000e+02	2.219000000000000057e+02	8.200000000000000344e-02
8.597999999999999545e+02	2.120999999999999943e+02	9.149999999999999800e-02
8.581000000000000227e+02	1.885999999999999943e+02	9.149999999999999800e-02
8.581000000000000227e+02	1.880999999999999943e+02	8.300000000000000433e-02
8.638999999999999773e+02	1.914000000000000057e+02	1.395000000000000129e-01
8.845000000000000000e+02	1.981999999999999886e+02	1.395000000000000129e-01
8.841000000000000227e+02	1.974000000000000057e+02	2.220000000000000029e-01
9.598999999999999773e+02	2.419000000000000057e+02	2.949999999999999845e-02
9.656000000000000227e+02	2.373000000000000114e+02	2.949999999999999845e-02
9.660000000000000000e+02	2.375999999999999943e+02	2.379999999999999893e-01
8.712999999999999545e+02	1.866999999999999886e+02	6.949999999999999512e-01
