start_x	start_y	duration
7.582999999999999545e+02	2.325000000000000000e+02	2.649999999999999925e-02
7.541000000000000227e+02	2.219000000000000057e+02	2.649999999999999925e-02
7.542000000000000455e+02	2.225000000000000000e+02	9.600000000000000200e-02
7.498999999999999773e+02	2.205999999999999943e+02	3.094999999999999973e-01
6.127999999999999545e+02	2.475999999999999943e+02	3.094999999999999973e-01
7.141000000000000227e+02	2.933999999999999773e+02	1.565000000000000002e-01
6.852999999999999545e+02	2.861999999999999886e+02	1.565000000000000002e-01
3.865000000000000000e+02	2.118000000000000114e+02	1.270000000000000018e-01
3.610000000000000000e+02	2.275000000000000000e+02	3.799999999999999906e-02
3.568000000000000114e+02	2.319000000000000057e+02	3.799999999999999906e-02
6.171000000000000227e+02	2.598999999999999773e+02	8.000000000000000167e-02
6.476000000000000227e+02	2.608999999999999773e+02	8.150000000000000300e-02
6.590000000000000000e+02	2.766000000000000227e+02	8.150000000000000300e-02
6.590000000000000000e+02	2.766000000000000227e+02	1.819999999999999951e-01
3.193000000000000114e+02	2.711999999999999886e+02	9.750000000000000333e-02
3.081000000000000227e+02	2.796999999999999886e+02	9.750000000000000333e-02
7.348999999999999773e+02	3.223999999999999773e+02	1.234999999999999987e-01
5.063000000000000114e+02	2.998000000000000114e+02	1.234999999999999987e-01
1.640999999999999943e+02	3.008000000000000114e+02	7.449999999999999678e-02
1.603000000000000114e+02	2.993000000000000114e+02	7.449999999999999678e-02
9.609999999999999432e+01	3.838999999999999773e+02	7.399999999999999634e-02
8.840000000000000568e+01	3.813999999999999773e+02	4.599999999999999922e-02
8.209999999999999432e+01	3.570000000000000000e+02	4.599999999999999922e-02
8.140000000000000568e+01	3.583000000000000114e+02	1.059999999999999970e-01
6.371000000000000227e+02	3.016000000000000227e+02	9.349999999999999978e-02
6.682999999999999545e+02	3.165000000000000000e+02	9.349999999999999978e-02
7.202000000000000455e+02	3.233000000000000114e+02	4.200000000000000261e-02
7.300000000000000000e+02	3.341999999999999886e+02	5.500000000000000028e-02
7.388999999999999773e+02	3.451000000000000227e+02	5.500000000000000028e-02
7.392000000000000455e+02	3.458000000000000114e+02	2.489999999999999991e-01
7.591000000000000227e+02	2.876000000000000227e+02	2.210000000000000020e-01
7.447000000000000455e+02	3.051999999999999886e+02	6.450000000000000178e-02
7.421000000000000227e+02	3.243000000000000114e+02	6.450000000000000178e-02
7.422999999999999545e+02	3.238999999999999773e+02	4.299999999999999656e-02
7.381000000000000227e+02	3.881000000000000227e+02	5.110000000000000098e-01
7.661000000000000227e+02	3.068000000000000114e+02	1.084999999999999992e-01
7.681000000000000227e+02	3.168999999999999773e+02	1.084999999999999992e-01
3.970000000000000000e+02	3.408000000000000114e+02	5.099999999999999672e-02
3.661000000000000227e+02	3.433999999999999773e+02	5.099999999999999672e-02
