start_x	start_y	duration
9.916000000000000227e+02	4.053999999999999773e+02	7.599999999999999811e-02
8.677000000000000455e+02	2.566999999999999886e+02	6.099999999999999867e-02
8.602000000000000455e+02	2.481999999999999886e+02	8.699999999999999400e-02
8.445000000000000000e+02	2.471999999999999886e+02	8.699999999999999400e-02
8.445000000000000000e+02	2.470000000000000000e+02	2.760000000000000231e-01
8.763999999999999773e+02	9.729999999999999716e+01	9.199999999999999845e-02
8.718999999999999773e+02	1.374000000000000057e+02	9.199999999999999845e-02
8.720000000000000000e+02	1.360999999999999943e+02	4.800000000000000100e-02
9.236000000000000227e+02	1.675000000000000000e+02	1.239999999999999991e-01
8.997999999999999545e+02	2.456999999999999886e+02	1.239999999999999991e-01
8.682000000000000455e+02	1.466999999999999886e+02	3.400000000000000244e-01
6.100000000000000000e+02	3.476999999999999886e+02	3.649999999999999772e-02
6.007000000000000455e+02	3.366999999999999886e+02	3.649999999999999772e-02
6.017999999999999545e+02	3.376999999999999886e+02	1.300000000000000044e-01
5.860000000000000000e+02	3.465000000000000000e+02	1.015000000000000069e-01
5.802999999999999545e+02	3.781999999999999886e+02	1.015000000000000069e-01
5.787999999999999545e+02	3.768000000000000114e+02	6.500000000000000222e-02
6.822999999999999545e+02	2.500999999999999943e+02	2.699999999999999969e-02
6.792999999999999545e+02	2.198000000000000114e+02	2.699999999999999969e-02
6.797000000000000455e+02	2.205999999999999943e+02	1.729999999999999871e-01
5.912999999999999545e+02	2.568999999999999773e+02	8.949999999999999623e-02
5.673999999999999773e+02	2.895000000000000000e+02	8.949999999999999623e-02
9.982000000000000455e+02	2.966000000000000227e+02	5.800000000000000294e-02
1.008000000000000000e+03	3.081000000000000227e+02	5.800000000000000294e-02
1.088000000000000000e+03	3.126999999999999886e+02	1.184999999999999942e-01
1.034000000000000000e+03	3.406999999999999886e+02	1.184999999999999942e-01
1.034000000000000000e+03	3.428000000000000114e+02	5.700000000000000205e-02
1.131000000000000000e+03	3.700000000000000000e+02	1.000000000000000056e-01
1.067700000000000045e+03	4.101999999999999886e+02	1.000000000000000056e-01
7.346000000000000227e+02	1.540999999999999943e+02	6.500000000000000222e-02
7.020000000000000000e+02	1.631999999999999886e+02	6.500000000000000222e-02
5.782000000000000455e+02	1.451999999999999886e+02	5.199999999999999761e-02
5.642000000000000455e+02	1.660999999999999943e+02	1.615000000000000047e-01
6.178999999999999773e+02	2.128000000000000114e+02	1.615000000000000047e-01
1.075900000000000091e+03	4.510000000000000000e+02	5.000000000000000278e-02
1.087400000000000091e+03	4.753000000000000114e+02	1.685000000000000109e-01
9.218999999999999773e+02	5.088999999999999773e+02	1.685000000000000109e-01
1.145500000000000000e+03	4.938000000000000114e+02	1.409999999999999865e-01
1.025700000000000045e+03	5.043999999999999773e+02	1.409999999999999865e-01
1.094599999999999909e+03	5.086000000000000227e+02	1.375000000000000111e-01
1.007299999999999955e+03	4.966000000000000227e+02	1.375000000000000111e-01
1.028900000000000091e+03	5.186000000000000227e+02	2.459999999999999964e-01
