start_x	start_y	duration
5.006999999999999886e+02	1.406999999999999886e+02	9.700000000000000289e-02
6.960000000000000000e+02	3.420000000000000000e+02	9.800000000000000377e-02
7.021000000000000227e+02	3.518000000000000114e+02	9.800000000000000377e-02
6.967000000000000455e+02	3.188999999999999773e+02	9.299999999999999933e-02
6.898999999999999773e+02	3.296999999999999886e+02	9.299999999999999933e-02
1.106900000000000091e+03	2.656000000000000227e+02	5.600000000000000117e-02
1.085500000000000000e+03	2.596999999999999886e+02	8.699999999999999400e-02
9.746000000000000227e+02	2.733000000000000114e+02	8.699999999999999400e-02
9.533999999999999773e+02	2.866000000000000227e+02	1.915000000000000036e-01
7.366000000000000227e+02	2.816999999999999886e+02	1.915000000000000036e-01
6.512999999999999545e+02	2.883000000000000114e+02	6.600000000000000311e-02
6.227000000000000455e+02	2.868000000000000114e+02	1.484999999999999931e-01
4.748999999999999773e+02	2.891999999999999886e+02	1.484999999999999931e-01
4.758999999999999773e+02	3.351000000000000227e+02	1.250000000000000000e-01
3.678999999999999773e+02	3.458999999999999773e+02	1.250000000000000000e-01
8.762999999999999545e+02	3.643000000000000114e+02	1.474999999999999922e-01
7.592000000000000455e+02	3.568000000000000114e+02	1.474999999999999922e-01
7.591000000000000227e+02	3.566000000000000227e+02	4.399999999999999745e-02
7.602999999999999545e+02	4.516000000000000227e+02	5.399999999999999939e-02
7.360000000000000000e+02	4.441000000000000227e+02	1.059999999999999970e-01
6.547000000000000455e+02	4.501000000000000227e+02	1.059999999999999970e-01
6.472000000000000455e+02	4.456000000000000227e+02	1.335000000000000075e-01
5.510000000000000000e+02	4.568999999999999773e+02	1.335000000000000075e-01
6.027000000000000455e+02	3.048000000000000114e+02	5.899999999999999689e-02
5.906000000000000227e+02	2.921999999999999886e+02	1.424999999999999878e-01
5.131000000000000227e+02	2.988999999999999773e+02	1.424999999999999878e-01
8.067999999999999545e+02	2.976000000000000227e+02	3.785000000000000031e-01
6.727000000000000455e+02	3.003000000000000114e+02	3.785000000000000031e-01
6.725000000000000000e+02	3.005000000000000000e+02	1.429999999999999882e-01
6.655000000000000000e+02	2.983999999999999773e+02	2.260000000000000064e-01
5.831000000000000227e+02	3.088999999999999773e+02	2.260000000000000064e-01
5.827999999999999545e+02	3.093000000000000114e+02	7.339999999999999858e-01
