start_x	start_y	duration
5.527000000000000455e+02	2.563000000000000114e+02	5.550000000000000072e-02
5.571000000000000227e+02	2.380999999999999943e+02	5.550000000000000072e-02
5.563999999999999773e+02	2.368000000000000114e+02	7.699999999999999900e-02
5.531000000000000227e+02	2.285000000000000000e+02	3.799999999999999906e-02
5.556000000000000227e+02	2.364000000000000057e+02	3.799999999999999906e-02
4.646000000000000227e+02	2.823999999999999773e+02	1.064999999999999974e-01
4.855000000000000000e+02	2.768000000000000114e+02	1.064999999999999974e-01
5.101000000000000227e+02	2.971000000000000227e+02	1.849999999999999978e-01
5.205000000000000000e+02	2.998999999999999773e+02	1.265000000000000013e-01
5.028999999999999773e+02	2.524000000000000057e+02	1.265000000000000013e-01
5.016999999999999886e+02	2.521999999999999886e+02	2.770000000000000240e-01
4.825000000000000000e+02	2.485999999999999943e+02	1.029999999999999943e-01
4.765000000000000000e+02	2.706999999999999886e+02	1.029999999999999943e-01
4.771999999999999886e+02	2.693000000000000114e+02	1.042000000000000037e+00
4.828000000000000114e+02	2.861999999999999886e+02	1.585000000000000020e-01
5.153999999999999773e+02	2.340000000000000000e+02	1.585000000000000020e-01
8.350000000000000000e+02	1.293000000000000114e+02	1.419999999999999873e-01
8.666000000000000227e+02	1.227000000000000028e+02	1.419999999999999873e-01
9.063999999999999773e+02	9.300000000000000000e+01	2.850000000000000103e-02
9.308999999999999773e+02	1.029000000000000057e+02	2.850000000000000103e-02
9.305000000000000000e+02	1.032999999999999972e+02	1.010000000000000064e-01
9.186000000000000227e+02	1.040999999999999943e+02	4.549999999999999878e-02
9.128999999999999773e+02	9.400000000000000000e+01	4.549999999999999878e-02
9.123999999999999773e+02	9.609999999999999432e+01	5.500000000000000028e-02
6.287999999999999545e+02	1.870999999999999943e+02	7.449999999999999678e-02
6.147999999999999545e+02	1.770000000000000000e+02	7.449999999999999678e-02
5.416000000000000227e+02	2.521999999999999886e+02	4.199999999999999845e-01
7.585000000000000000e+02	2.713000000000000114e+02	3.170000000000000040e-01
7.837000000000000455e+02	2.371999999999999886e+02	8.749999999999999445e-02
7.663999999999999773e+02	2.486999999999999886e+02	8.749999999999999445e-02
7.670000000000000000e+02	2.496999999999999886e+02	5.000000000000000278e-02
7.746000000000000227e+02	2.666999999999999886e+02	1.039999999999999952e-01
7.967999999999999545e+02	2.555999999999999943e+02	1.039999999999999952e-01
7.957000000000000455e+02	2.555999999999999943e+02	9.769999999999999796e-01
