start_x	start_y	duration
4.860000000000000000e+02	2.150999999999999943e+02	8.799999999999999489e-02
4.761000000000000227e+02	2.126999999999999886e+02	8.799999999999999489e-02
4.756000000000000227e+02	1.691999999999999886e+02	8.100000000000000255e-02
4.003000000000000114e+02	1.890000000000000000e+02	7.449999999999999678e-02
3.778999999999999773e+02	1.726999999999999886e+02	7.449999999999999678e-02
3.788999999999999773e+02	1.739000000000000057e+02	9.400000000000000022e-02
4.001999999999999886e+02	1.753000000000000114e+02	1.390000000000000124e-01
3.830000000000000000e+02	1.700999999999999943e+02	5.249999999999999806e-02
3.801000000000000227e+02	1.700000000000000000e+02	5.249999999999999806e-02
3.581000000000000227e+02	3.448999999999999773e+02	2.740000000000000213e-01
3.370000000000000000e+02	3.476000000000000227e+02	3.940000000000000169e-01
3.378000000000000114e+02	3.745000000000000000e+02	4.000000000000000083e-02
3.418999999999999773e+02	3.691999999999999886e+02	4.000000000000000083e-02
3.423000000000000114e+02	3.693999999999999773e+02	5.210000000000000187e-01
3.308000000000000114e+02	3.471999999999999886e+02	8.649999999999999356e-02
3.146999999999999886e+02	3.421000000000000227e+02	8.649999999999999356e-02
3.143999999999999773e+02	3.423000000000000114e+02	5.899999999999999689e-02
3.528999999999999773e+02	3.748000000000000114e+02	3.099999999999999978e-02
3.538000000000000114e+02	3.738999999999999773e+02	3.099999999999999978e-02
3.538999999999999773e+02	3.736000000000000227e+02	3.559999999999999831e-01
3.393000000000000114e+02	3.755000000000000000e+02	5.330000000000000293e-01
3.461000000000000227e+02	3.888999999999999773e+02	3.320000000000000173e-01
8.066000000000000227e+02	1.215000000000000000e+02	5.099999999999999672e-02
8.393999999999999773e+02	1.082000000000000028e+02	8.999999999999999667e-02
8.601000000000000227e+02	1.082000000000000028e+02	8.999999999999999667e-02
9.181000000000000227e+02	1.573000000000000114e+02	7.099999999999999367e-02
9.458999999999999773e+02	1.736999999999999886e+02	1.385000000000000120e-01
9.935000000000000000e+02	2.064000000000000057e+02	1.385000000000000120e-01
1.017399999999999977e+03	7.529999999999999716e+01	8.300000000000000433e-02
1.033599999999999909e+03	5.729999999999999716e+01	1.110000000000000014e-01
