start_x	start_y	duration
7.626000000000000227e+02	1.646999999999999886e+02	5.949999999999999734e-02
5.127999999999999545e+02	1.284000000000000057e+02	6.850000000000000533e-02
5.227999999999999545e+02	1.415000000000000000e+02	6.850000000000000533e-02
4.730000000000000000e+02	2.338000000000000114e+02	7.599999999999999811e-02
4.876000000000000227e+02	2.306999999999999886e+02	5.999999999999999778e-02
4.888000000000000114e+02	2.413000000000000114e+02	5.999999999999999778e-02
4.896999999999999886e+02	2.428000000000000114e+02	9.199999999999999845e-02
4.446999999999999886e+02	2.981000000000000227e+02	1.980000000000000093e-01
5.048000000000000114e+02	1.795000000000000000e+02	2.100000000000000130e-02
5.031999999999999886e+02	1.709000000000000057e+02	2.100000000000000130e-02
5.028999999999999773e+02	1.709000000000000057e+02	1.900000000000000022e-01
4.866000000000000227e+02	2.318000000000000114e+02	5.360000000000000320e-01
5.375000000000000000e+02	1.625999999999999943e+02	9.700000000000000289e-02
5.400000000000000000e+02	1.715999999999999943e+02	9.700000000000000289e-02
9.550000000000000000e+02	2.495000000000000000e+02	6.199999999999999956e-02
9.860000000000000000e+02	2.476999999999999886e+02	6.199999999999999956e-02
5.363999999999999773e+02	1.808000000000000114e+02	7.000000000000000666e-02
5.122000000000000455e+02	1.765999999999999943e+02	3.899999999999999994e-02
5.127999999999999545e+02	1.826999999999999886e+02	3.899999999999999994e-02
5.136000000000000227e+02	1.826999999999999886e+02	2.670000000000000151e-01
5.043999999999999773e+02	3.111000000000000227e+02	2.900000000000000147e-02
4.950000000000000000e+02	2.855000000000000000e+02	2.900000000000000147e-02
4.946000000000000227e+02	2.858999999999999773e+02	1.749999999999999889e-01
4.768999999999999773e+02	2.205999999999999943e+02	3.439999999999999725e-01
4.833999999999999773e+02	2.891000000000000227e+02	9.750000000000000333e-02
4.686999999999999886e+02	2.885000000000000000e+02	9.750000000000000333e-02
4.758999999999999773e+02	1.875999999999999943e+02	1.499999999999999944e-01
7.392000000000000455e+02	1.603000000000000114e+02	2.780000000000000249e-01
7.682999999999999545e+02	1.900999999999999943e+02	2.449999999999999956e-01
7.748999999999999773e+02	1.841999999999999886e+02	1.544999999999999984e-01
7.800000000000000000e+02	2.123000000000000114e+02	1.544999999999999984e-01
7.803999999999999773e+02	2.126999999999999886e+02	6.099999999999999867e-02
7.845000000000000000e+02	2.175999999999999943e+02	6.500000000000000222e-02
7.827999999999999545e+02	2.361999999999999886e+02	6.500000000000000222e-02
7.821000000000000227e+02	2.351999999999999886e+02	7.599999999999999811e-02
7.443999999999999773e+02	2.881999999999999886e+02	1.779999999999999916e-01
7.422999999999999545e+02	2.923999999999999773e+02	2.850000000000000103e-02
7.382999999999999545e+02	2.961999999999999886e+02	2.850000000000000103e-02
7.373999999999999773e+02	2.951999999999999886e+02	5.199999999999999761e-02
