start_x	start_y	duration
4.068000000000000114e+02	2.523000000000000114e+02	3.450000000000000289e-02
4.135000000000000000e+02	2.230999999999999943e+02	3.450000000000000289e-02
4.135000000000000000e+02	2.230000000000000000e+02	7.499999999999999722e-02
6.573999999999999773e+02	1.895000000000000000e+02	1.000000000000000056e-01
6.965000000000000000e+02	1.779000000000000057e+02	1.000000000000000056e-01
7.083999999999999773e+02	1.200999999999999943e+02	1.160000000000000059e-01
7.141000000000000227e+02	1.328000000000000114e+02	1.474999999999999922e-01
7.588999999999999773e+02	1.301999999999999886e+02	1.474999999999999922e-01
7.592999999999999545e+02	1.311999999999999886e+02	2.449999999999999956e-01
7.845000000000000000e+02	1.494000000000000057e+02	2.249999999999999917e-02
8.010000000000000000e+02	1.426999999999999886e+02	2.249999999999999917e-02
8.010000000000000000e+02	1.431999999999999886e+02	9.379999999999999449e-01
7.637999999999999545e+02	1.710000000000000000e+02	1.585000000000000020e-01
8.127999999999999545e+02	1.783000000000000114e+02	1.585000000000000020e-01
8.127000000000000455e+02	1.788000000000000114e+02	3.410000000000000253e-01
8.117999999999999545e+02	1.920000000000000000e+02	4.900000000000000189e-02
8.150000000000000000e+02	1.899000000000000057e+02	4.900000000000000189e-02
8.147999999999999545e+02	1.905999999999999943e+02	5.999999999999999778e-02
7.500000000000000000e+02	3.703999999999999773e+02	1.390000000000000124e-01
7.300000000000000000e+02	2.034000000000000057e+02	1.390000000000000124e-01
7.297000000000000455e+02	2.025999999999999943e+02	3.210000000000000075e-01
4.780000000000000000e+02	4.171999999999999886e+02	8.400000000000000522e-02
4.763000000000000114e+02	4.175000000000000000e+02	8.400000000000000522e-02
4.781999999999999886e+02	4.415000000000000000e+02	2.800000000000000058e-02
4.690000000000000000e+02	4.380000000000000000e+02	2.800000000000000058e-02
4.688000000000000114e+02	4.373999999999999773e+02	1.769999999999999907e-01
7.575000000000000000e+02	1.630999999999999943e+02	9.149999999999999800e-02
7.700000000000000000e+02	1.641999999999999886e+02	9.149999999999999800e-02
7.967999999999999545e+02	1.721999999999999886e+02	1.100000000000000006e-01
