start_x	start_y	duration
8.042000000000000455e+02	2.466999999999999886e+02	9.500000000000000111e-02
6.300000000000000000e+02	2.071999999999999886e+02	1.074999999999999983e-01
6.623999999999999773e+02	2.086999999999999886e+02	1.074999999999999983e-01
7.093999999999999773e+02	2.325000000000000000e+02	1.690000000000000113e-01
7.732999999999999545e+02	2.020999999999999943e+02	1.690000000000000113e-01
7.731000000000000227e+02	2.030999999999999943e+02	7.900000000000000078e-02
7.678999999999999773e+02	2.050000000000000000e+02	2.474999999999999978e-01
6.740000000000000000e+02	2.048000000000000114e+02	2.474999999999999978e-01
6.497999999999999545e+02	1.808000000000000114e+02	2.149999999999999828e-02
6.302000000000000455e+02	1.731999999999999886e+02	2.149999999999999828e-02
6.300000000000000000e+02	1.723000000000000114e+02	5.600000000000000117e-02
6.327999999999999545e+02	1.819000000000000057e+02	2.064999999999999891e-01
6.958999999999999773e+02	2.085000000000000000e+02	2.064999999999999891e-01
6.958999999999999773e+02	2.086999999999999886e+02	9.900000000000000466e-02
6.952000000000000455e+02	2.120999999999999943e+02	1.214999999999999969e-01
6.742999999999999545e+02	2.330000000000000000e+02	1.214999999999999969e-01
6.733999999999999773e+02	2.326999999999999886e+02	3.980000000000000204e-01
6.871000000000000227e+02	2.335000000000000000e+02	2.399999999999999911e-01
7.718999999999999773e+02	2.485999999999999943e+02	2.399999999999999911e-01
7.720000000000000000e+02	2.494000000000000057e+02	5.899999999999999689e-02
6.291000000000000227e+02	1.920000000000000000e+02	2.549999999999999836e-02
6.092000000000000455e+02	1.829000000000000057e+02	2.549999999999999836e-02
6.091000000000000227e+02	1.826999999999999886e+02	5.700000000000000205e-02
8.017999999999999545e+02	2.460000000000000000e+02	2.750000000000000014e-02
8.083999999999999773e+02	2.505000000000000000e+02	2.750000000000000014e-02
8.087000000000000455e+02	2.509000000000000057e+02	1.143999999999999906e+00
7.637999999999999545e+02	2.638000000000000114e+02	6.700000000000000400e-02
7.502000000000000455e+02	2.665000000000000000e+02	6.700000000000000400e-02
7.500000000000000000e+02	2.661999999999999886e+02	5.500000000000000028e-02
6.970000000000000000e+02	2.836000000000000227e+02	2.800000000000000058e-02
6.843999999999999773e+02	2.901000000000000227e+02	2.800000000000000058e-02
6.840000000000000000e+02	2.896000000000000227e+02	2.179999999999999993e-01
