start_x	start_y	duration
6.562999999999999545e+02	5.532000000000000455e+02	3.210000000000000075e-01
7.560000000000000000e+02	3.393999999999999773e+02	2.050000000000000086e-02
7.511000000000000227e+02	3.196999999999999886e+02	2.050000000000000086e-02
7.511000000000000227e+02	3.193999999999999773e+02	6.900000000000000577e-02
7.462999999999999545e+02	3.026999999999999886e+02	1.000000000000000056e-01
7.417000000000000455e+02	2.998000000000000114e+02	1.000000000000000056e-01
7.421000000000000227e+02	3.008000000000000114e+02	5.500000000000000028e-02
6.385000000000000000e+02	1.579000000000000057e+02	3.500000000000000333e-02
6.332999999999999545e+02	1.645999999999999943e+02	3.500000000000000333e-02
6.342000000000000455e+02	1.648000000000000114e+02	3.950000000000000178e-01
5.760000000000000000e+02	2.683000000000000114e+02	1.370000000000000107e-01
5.761000000000000227e+02	2.691999999999999886e+02	1.519999999999999962e-01
3.836000000000000227e+02	3.475000000000000000e+02	6.900000000000000577e-02
3.803999999999999773e+02	3.576000000000000227e+02	3.135000000000000009e-01
5.650000000000000000e+02	4.511000000000000227e+02	3.135000000000000009e-01
6.922999999999999545e+02	4.498000000000000114e+02	7.399999999999999634e-02
7.367000000000000455e+02	4.511999999999999886e+02	2.320000000000000118e-01
7.677999999999999545e+02	4.601000000000000227e+02	2.320000000000000118e-01
6.937000000000000455e+02	2.461999999999999886e+02	2.549999999999999836e-02
6.952000000000000455e+02	2.765000000000000000e+02	2.549999999999999836e-02
6.953999999999999773e+02	2.756000000000000227e+02	5.099999999999999672e-02
6.978999999999999773e+02	2.641999999999999886e+02	1.024999999999999939e-01
7.223999999999999773e+02	2.686000000000000227e+02	1.024999999999999939e-01
7.223999999999999773e+02	2.683999999999999773e+02	7.439999999999999947e-01
4.525000000000000000e+02	2.736000000000000227e+02	5.550000000000000072e-02
4.581999999999999886e+02	2.765000000000000000e+02	5.550000000000000072e-02
4.576999999999999886e+02	2.771999999999999886e+02	9.400000000000000022e-02
4.556000000000000227e+02	2.728000000000000114e+02	2.949999999999999845e-02
4.610000000000000000e+02	2.780000000000000000e+02	2.949999999999999845e-02
5.648999999999999773e+02	1.114000000000000057e+02	2.949999999999999845e-01
7.131000000000000227e+02	2.250999999999999943e+02	3.910000000000000142e-01
