start_x	start_y	duration
6.752999999999999545e+02	9.779999999999999716e+01	2.699999999999999969e-02
6.775000000000000000e+02	1.000000000000000000e+02	2.699999999999999969e-02
6.772000000000000455e+02	1.005999999999999943e+02	5.700000000000000205e-02
8.988999999999999773e+02	1.611999999999999886e+02	5.249999999999999806e-02
9.142000000000000455e+02	1.668000000000000114e+02	5.249999999999999806e-02
9.136000000000000227e+02	1.664000000000000057e+02	6.400000000000000133e-02
9.757999999999999545e+02	1.810999999999999943e+02	6.600000000000000311e-02
9.741000000000000227e+02	1.753000000000000114e+02	1.034999999999999948e-01
9.907999999999999545e+02	1.691999999999999886e+02	1.034999999999999948e-01
9.906000000000000227e+02	1.690999999999999943e+02	3.150000000000000022e-01
9.773999999999999773e+02	1.578000000000000114e+02	1.170000000000000068e-01
9.537999999999999545e+02	1.580000000000000000e+02	1.170000000000000068e-01
9.545000000000000000e+02	1.586999999999999886e+02	1.512000000000000011e+00
9.128999999999999773e+02	1.519000000000000057e+02	5.659999999999999476e-01
9.241000000000000227e+02	1.455999999999999943e+02	1.241000000000000103e+00
3.461999999999999886e+02	2.280999999999999943e+02	1.209000000000000075e+00
