start_x	start_y	duration
6.203999999999999773e+02	3.181000000000000227e+02	8.300000000000000433e-02
7.432999999999999545e+02	2.253000000000000114e+02	7.649999999999999856e-02
7.532999999999999545e+02	2.075999999999999943e+02	7.649999999999999856e-02
8.258999999999999773e+02	3.141999999999999886e+02	6.400000000000000133e-02
8.495000000000000000e+02	3.366999999999999886e+02	1.039999999999999952e-01
8.215000000000000000e+02	3.141000000000000227e+02	1.039999999999999952e-01
5.031999999999999886e+02	2.945000000000000000e+02	3.500000000000000333e-02
5.215000000000000000e+02	3.006999999999999886e+02	3.500000000000000333e-02
5.203999999999999773e+02	3.021999999999999886e+02	4.010000000000000231e-01
4.578999999999999773e+02	2.701000000000000227e+02	1.310000000000000053e-01
4.646999999999999886e+02	2.470000000000000000e+02	3.250000000000000111e-02
4.613000000000000114e+02	2.628999999999999773e+02	3.250000000000000111e-02
5.190000000000000000e+02	2.916999999999999886e+02	1.054999999999999966e-01
5.516000000000000227e+02	2.976000000000000227e+02	1.054999999999999966e-01
6.902999999999999545e+02	3.051000000000000227e+02	6.450000000000000178e-02
7.237000000000000455e+02	3.006999999999999886e+02	6.450000000000000178e-02
7.230000000000000000e+02	2.998999999999999773e+02	1.029999999999999943e-01
7.742000000000000455e+02	3.626000000000000227e+02	1.219999999999999973e-01
8.141000000000000227e+02	3.725000000000000000e+02	1.219999999999999973e-01
8.770000000000000000e+02	3.031000000000000227e+02	5.500000000000000028e-02
8.826000000000000227e+02	3.240000000000000000e+02	7.549999999999999767e-02
9.128999999999999773e+02	3.271000000000000227e+02	7.549999999999999767e-02
7.037999999999999545e+02	3.363999999999999773e+02	9.099999999999999756e-02
7.042000000000000455e+02	3.471000000000000227e+02	3.975000000000000200e-01
8.237999999999999545e+02	3.491000000000000227e+02	3.975000000000000200e-01
1.067999999999999972e+02	4.023000000000000114e+02	1.625000000000000056e-01
2.881000000000000227e+02	3.271999999999999886e+02	1.625000000000000056e-01
1.791999999999999886e+02	2.743000000000000114e+02	1.010000000000000064e-01
2.573000000000000114e+02	2.651999999999999886e+02	1.010000000000000064e-01
1.543000000000000114e+02	2.866000000000000227e+02	4.599999999999999922e-02
2.041999999999999886e+02	2.708999999999999773e+02	1.670000000000000095e-01
2.881000000000000227e+02	2.405999999999999943e+02	1.670000000000000095e-01
5.477000000000000455e+02	3.378999999999999773e+02	1.219999999999999973e-01
5.213999999999999773e+02	3.118999999999999773e+02	8.799999999999999489e-02
5.362999999999999545e+02	3.388999999999999773e+02	8.799999999999999489e-02
5.477999999999999545e+02	9.120000000000000284e+01	2.449999999999999956e-01
5.061999999999999886e+02	1.030999999999999943e+02	1.095000000000000001e-01
5.478999999999999773e+02	8.759999999999999432e+01	1.095000000000000001e-01
